date,municipio_residencia_paciente_sp,n_internacoes
2008-01-01,355030,444
2008-02-01,355030,11
2008-07-01,355030,5
2008-08-01,355030,18
2008-09-01,355030,2
2008-10-01,355030,4
2008-11-01,355030,4
2009-01-01,355030,4
2009-03-01,355030,2
2009-04-01,355030,3
2009-08-01,355030,10
2009-09-01,355030,17
2009-11-01,355030,6
2010-05-01,355030,2
2010-06-01,355030,2
2010-08-01,355030,6
2011-02-01,355030,6
2011-04-01,355030,11
2011-08-01,355030,2
2011-10-01,355030,4
2011-11-01,355030,2
2012-01-01,355030,2
2012-03-01,355030,5
2012-04-01,355030,2
2012-06-01,355030,9
2012-07-01,355030,3
2012-08-01,355030,3
2012-09-01,355030,2
2012-10-01,355030,11
2012-12-01,355030,7
2013-01-01,355030,5
2013-02-01,355030,8
2013-03-01,355030,4
2013-05-01,355030,6
2013-06-01,355030,15
2013-08-01,355030,4
2013-09-01,355030,8
2013-11-01,355030,15
2013-12-01,355030,2
2014-01-01,355030,9
2014-03-01,355030,6
2014-04-01,355030,8
2014-05-01,355030,4
2014-06-01,355030,6
2014-07-01,355030,4
2014-08-01,355030,4
2014-09-01,355030,12
2014-10-01,355030,2
2014-12-01,355030,4
2015-01-01,355030,12
2015-03-01,355030,17
2015-04-01,355030,28
2015-05-01,355030,12
2015-06-01,355030,4
2015-07-01,355030,12
2015-09-01,355030,4
2015-10-01,355030,13
2015-11-01,355030,8
2016-02-01,355030,8
2016-03-01,355030,10
2016-04-01,355030,4
2016-05-01,355030,6
2016-11-01,355030,5
2017-02-01,355030,2
2017-03-01,355030,3
2017-04-01,355030,7
2017-09-01,355030,2
2017-10-01,355030,6
2018-01-01,355030,8
2018-04-01,355030,10
2018-05-01,355030,2
2018-06-01,355030,4
2018-08-01,355030,6
2018-10-01,355030,580
2018-10-01,354990,15
2018-11-01,355030,10
2018-12-01,355030,20
2019-01-01,355030,61
2019-02-01,355030,15
2019-03-01,355030,26
2019-03-01,353440,19
2019-04-01,355030,33
2019-05-01,355030,35
2019-06-01,355030,31
2019-07-01,355030,49
2019-08-01,355030,386
2019-09-01,355030,2012
2019-09-01,354880,141
2019-09-01,354780,102
2019-09-01,351880,40
2019-10-01,355030,9104
2019-10-01,351880,305
2019-10-01,260420,26
2019-10-01,354330,234
2019-10-01,351570,40
2019-10-01,315250,31
2019-10-01,351060,64
2019-10-01,352310,148
2019-10-01,352940,3
2019-10-01,355280,28
2019-10-01,351500,4
2019-10-01,351300,6
2019-10-01,351870,37
2019-10-01,352520,44
2019-10-01,355250,29
2019-10-01,410725,52
2019-10-01,355060,57
2019-11-01,355030,30668
2019-11-01,351060,65
2019-11-01,351630,108
2019-11-01,354870,152
2019-11-01,351570,74
2019-11-01,351500,118
2019-11-01,354330,251
2019-11-01,354990,28
2019-11-01,354780,110
2019-11-01,351880,399
2019-11-01,353910,143
2019-11-01,431410,18
2019-11-01,354340,45
2019-11-01,353440,82
2019-11-01,350950,20
2019-11-01,353620,28
2019-11-01,353860,8
2019-11-01,355250,10
2019-11-01,354100,40
2019-11-01,292570,10
2019-11-01,352310,65
2019-11-01,355100,4
2019-11-01,240770,25
2019-11-01,211050,9
2019-11-01,352520,13
2019-11-01,351380,32
2019-11-01,261450,32
2019-11-01,350760,2
2019-11-01,355280,121
2019-11-01,352340,17
2019-11-01,351110,37
2019-11-01,353060,27
2019-11-01,290500,31
2019-11-01,320520,22
2019-11-01,351870,10
2019-11-01,351640,30
2019-11-01,352260,54
2019-11-01,351510,19
2019-11-01,355220,45
2019-11-01,350330,39
2019-11-01,310620,9
2019-11-01,315250,2
2019-11-01,310260,2
2019-11-01,352220,9
2019-11-01,350900,3
2019-11-01,260790,23
2019-11-01,350960,11
2019-12-01,355030,94767
2019-12-01,351880,1557
2019-12-01,353980,212
2019-12-01,354580,106
2019-12-01,355280,469
2019-12-01,351500,326
2019-12-01,350450,27
2019-12-01,350330,134
2019-12-01,353740,220
2019-12-01,355100,169
2019-12-01,353870,85
2019-12-01,355410,182
2019-12-01,352940,210
2019-12-01,352310,449
2019-12-01,355250,162
2019-12-01,330455,41
2019-12-01,420550,12
2019-12-01,351300,50
2019-12-01,352500,113
2019-12-01,110020,126
2019-12-01,351870,126
2019-12-01,351380,445
2019-12-01,350570,156
2019-12-01,351570,143
2019-12-01,350160,27
2019-12-01,350950,108
2019-12-01,354780,132
2019-12-01,350410,42
2019-12-01,354330,210
2019-12-01,130260,17
2019-12-01,510340,94
2019-12-01,354100,121
2019-12-01,317020,90
2019-12-01,352590,105
2019-12-01,350970,46
2019-12-01,354870,188
2019-12-01,352220,202
2019-12-01,350635,2
2019-12-01,351640,141
2019-12-01,260960,32
2019-12-01,350900,31
2019-12-01,520870,138
2019-12-01,352210,47
2019-12-01,220470,5
2019-12-01,353440,683
2019-12-01,354890,29
2019-12-01,350190,23
2019-12-01,314190,36
2019-12-01,353650,21
2019-12-01,280410,35
2019-12-01,352720,40
2019-12-01,354850,94
2019-12-01,355060,85
2019-12-01,354990,98
2019-12-01,314790,99
2019-12-01,355240,18
2019-12-01,310160,31
2019-12-01,280440,4
2019-12-01,353060,113
2019-12-01,352390,2
2019-12-01,351630,56
2019-12-01,330630,43
2019-12-01,500470,4
2019-12-01,240325,29
2019-12-01,352440,48
2019-12-01,354995,17
2019-12-01,350760,23
2019-12-01,352930,95
2019-12-01,351060,250
2019-12-01,280480,46
2019-12-01,354680,23
2019-12-01,280030,35
2019-12-01,355540,39
2019-12-01,172100,2
2019-12-01,351510,97
2019-12-01,120020,94
2019-12-01,353860,14
2019-12-01,230440,7
2019-12-01,355220,8
2019-12-01,351760,45
2019-12-01,352990,37
2019-12-01,290360,8
2019-12-01,231290,13
2019-12-01,330250,48
2019-12-01,270020,21
2019-12-01,350920,13
2019-12-01,290350,19
2019-12-01,354980,56
